_panel_year,개방ID,_0101_exists,_0101_match_status,_review_status,_0101_source_row_count,_0101_branch_count,_0101_branch_names,_0101_province_count,_0101_provinces,_0101_region_count,_0101_regions,_0101_school_type_count,_0101_school_types,_0101_campus_scope,_source_dataset_count,_source_catalog_codes,_source_row_count
2009,1734231114,true,matched,not_required,1,1,본교,1,경북,1,경북 구미시,1,대학,single_campus,12,0101|0103|0305|0310|0316|0502|0503|0601|0714|1014|1016|1207,2236
2009,1738523721,true,matched,not_required,1,1,본교,1,경기,1,경기 안양시,1,대학원,single_campus,2,0101|0105,2
2009,1742631793,true,matched,not_required,1,1,본교,1,인천,1,인천 남구,1,대학원,single_campus,3,0101|0105|0502,18
2009,1743234217,true,matched,not_required,1,1,본교,1,충남,1,충남 천안시,1,대학원대학,single_campus,7,0101|0105|0502|0503|0601|1014|1207,18
2009,1745145559,true,matched,not_required,1,1,본교,1,전남,1,전남 무안군,1,대학원,single_campus,2,0101|0105,3
2009,1749948859,true,matched,not_required,1,1,본교,1,대전,1,대전 서구,1,전문대학,single_campus,9,0101|0305|0310|0316|0601|0714|1014|1016|1207,916
2009,1750612974,true,matched,not_required,1,1,분교1,1,강원,1,강원 원주시,1,대학원,single_campus,2,0101|0105,5
2009,1751584470,true,matched,not_required,1,1,본교,1,경기,1,경기 군포시,1,대학원,single_campus,4,0101|0105|0502|1014,4
2009,1752798438,true,matched,not_required,1,1,본교,1,부산,1,부산 남구,1,대학원,single_campus,5,0101|0105|0502|0601|1014,6
2009,1759107530,true,matched,not_required,2,2,본교|제3캠퍼스,1,서울,1,서울 종로구,1,대학원,multiple_campuses,5,0101|0105|0502|0601|1014,6
2009,1772439181,true,matched,not_required,1,1,본교,1,경남,1,경남 양산시,1,대학원,single_campus,2,0101|0105,3
2009,1789836525,true,matched,not_required,1,1,본교,1,대전,1,대전 유성구,1,대학원,single_campus,2,0101|0105,2
2009,1794125914,true,matched,not_required,1,1,본교,1,서울,1,서울 서대문구,1,대학원,single_campus,3,0101|0105|0502,7
2009,1794685423,true,matched,not_required,1,1,본교,1,경남,1,경남 진주시,1,대학원,single_campus,2,0101|0105,3
2009,1799171149,true,matched,not_required,1,1,본교,1,서울,1,서울 성북구,1,대학원,single_campus,2,0101|0105,7
2009,1800435543,true,matched,not_required,1,1,본교,1,강원,1,강원 강릉시,1,대학원,single_campus,2,0101|0105,2
2009,1819762468,true,matched,not_required,1,1,본교,1,서울,1,서울 종로구,1,대학원,single_campus,3,0101|0105|0502,3
2009,1829649627,true,matched,not_required,1,1,본교,1,대구,1,대구 중구,1,대학원,single_campus,2,0101|0105,3
2009,1842615962,true,matched,not_required,1,1,본교,1,서울,1,서울 노원구,1,대학원,single_campus,5,0101|0105|0502|0601|1014,15
2009,1847336113,true,matched,not_required,1,1,본교,1,서울,1,서울 용산구,1,대학원,single_campus,2,0101|0105,8
2009,1849240481,true,matched,not_required,1,1,본교,1,경기,1,경기 안산시,1,전문대학,single_campus,8,0101|0305|0310|0316|0601|0714|1014|1016,839
2009,1850486636,true,matched,not_required,1,1,본교,1,충남,1,충남 천안시,1,대학원,single_campus,5,0101|0105|0502|0601|1014,7
2009,1851368010,true,matched,not_required,1,1,본교,1,서울,1,서울 종로구,1,대학원,single_campus,3,0101|0105|0502,4
2009,1859324514,true,matched,not_required,1,1,본교,1,서울,1,서울 서대문구,1,대학원,single_campus,3,0101|0105|0502,4
2009,1861960053,true,matched,not_required,1,1,본교,1,서울,1,서울 강서구,1,대학원대학,single_campus,7,0101|0105|0502|0503|0601|1014|1207,16
2009,1867613613,true,matched,not_required,1,1,본교,1,전북,1,전북 전주시,1,대학,single_campus,12,0101|0103|0305|0310|0316|0502|0503|0601|0714|1014|1016|1207,203
2009,1867770254,true,matched,not_required,1,1,본교,1,대구,1,대구 북구,1,대학원,single_campus,2,0101|0105,2
2009,1876542150,true,matched,not_required,1,1,본교,1,충남,1,충남 논산시,1,대학원,single_campus,2,0101|0105,3
2009,1879456639,true,matched,not_required,1,1,본교,1,부산,1,부산 남구,1,대학원,single_campus,5,0101|0105|0502|0601|1014,6
2009,1888298809,true,matched,not_required,1,1,본교,1,부산,1,부산 영도구,1,대학원,single_campus,3,0101|0105|0502,4
2009,1900183141,true,matched,not_required,1,1,본교,1,대구,1,대구 달서구,1,대학원,single_campus,5,0101|0105|0502|0601|1014,7
2009,1902594983,true,matched,not_required,1,1,제2캠퍼스,1,서울,1,서울 서대문구,1,대학원,single_campus,5,0101|0105|0502|0601|1014,11
2009,1915222823,true,matched,not_required,1,1,본교,1,대전,1,대전 유성구,1,대학원,single_campus,2,0101|0105,3
2009,1916681408,true,matched,not_required,1,1,본교,1,서울,1,서울 광진구,1,대학원,single_campus,5,0101|0105|0502|0601|1014,7
2009,1917935609,true,matched,not_required,2,2,본교|제2캠퍼스,2,경남|부산,2,경남 양산시|부산 해운대구,1,대학,multiple_campuses,8,0101|0103|0305|0310|0316|0503|0714|1016,2022
2009,1919025659,true,matched,not_required,1,1,본교,1,전북,1,전북 전주시,1,대학원,single_campus,2,0101|0105,2
